settlement_name,settlement_owner,minTurn,maxTurn,factionId,factionLabel
wh_main_estalia_tobaro,wh2_main_skv_clan_skyre,1,187,337,Skaven
wh2_main_skavenblight_skavenblight,wh2_main_skv_clan_skyre,1,187,337,Skaven
wh_main_tilea_miragliano,wh2_main_skv_clan_skyre,15,187,337,Skaven
wh_main_tilea_luccini,wh2_main_skv_clan_skyre,19,187,337,Skaven
wh2_main_sartosa_sartosa,wh2_main_skv_clan_skyre,20,187,337,Skaven
wh_main_western_border_princes_myrmidens,wh2_main_skv_clan_skyre,26,187,337,Skaven
wh_main_the_vaults_zarakzil,wh2_main_skv_clan_skyre,29,187,337,Skaven
wh_main_western_border_princes_zvorak,wh2_main_skv_clan_skyre,32,187,337,Skaven
wh_main_eastern_border_princes_matorca,wh2_main_skv_clan_skyre,34,187,337,Skaven
wh_main_eastern_border_princes_akendorf,wh2_main_skv_clan_skyre,36,187,337,Skaven
wh_main_blood_river_valley_varenka_hills,wh2_main_skv_clan_skyre,37,187,337,Skaven
wh_main_blood_river_valley_barak_varr,wh2_main_skv_clan_skyre,39,187,337,Skaven
wh_main_western_badlands_stonemine_tower,wh2_main_skv_clan_skyre,41,187,337,Skaven
wh_main_southern_badlands_gronti_mingol,wh2_main_skv_clan_skyre,43,187,337,Skaven
wh_main_western_badlands_ekrund,wh2_main_skv_clan_skyre,45,187,337,Skaven
wh_main_western_badlands_bitterstone_mine,wh2_main_skv_clan_skyre,46,187,337,Skaven
wh_main_estalia_bilbali,wh2_main_skv_clan_skyre,50,187,337,Skaven
wh_main_blood_river_valley_barag_dawazbag,wh2_main_skv_clan_skyre,51,187,337,Skaven
wh_main_eastern_badlands_valayas_sorrow,wh2_main_skv_clan_skyre,51,187,337,Skaven
wh_main_estalia_magritta,wh2_main_skv_clan_skyre,53,187,337,Skaven
wh_main_eastern_badlands_crooked_fang_fort,wh2_main_skv_clan_skyre,53,187,337,Skaven
wh_main_eastern_badlands_dringorackaz,wh2_main_skv_clan_skyre,55,187,337,Skaven
wh_main_desolation_of_nagash_spitepeak,wh2_main_skv_clan_skyre,57,187,337,Skaven
wh_main_desolation_of_nagash_karak_azul,wh2_main_skv_clan_skyre,59,187,337,Skaven
wh_main_blood_river_valley_dok_karaz,wh2_main_skv_clan_skyre,60,187,337,Skaven
wh_main_eastern_badlands_karak_eight_peaks,wh2_main_skv_clan_skyre,61,187,337,Skaven
wh2_main_the_plain_of_bones_ash_ridge_mountains,wh2_main_skv_clan_skyre,65,187,337,Skaven
